chebi_id,name,n_reactions,share_of_reactions,smiles
CHEBI:17754, glycerol,76,0.004095,OCC(O)CO
CHEBI:65315,,75,0.004041,*O[C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1COP(*)(=O)[O-]
CHEBI:35235, L-cysteine,74,0.003987,[NH3+][C@@H](CS)C(=O)[O-]
CHEBI:29999,,70,0.003772,*N[C@@H](CO)C(*)=O
CHEBI:58342, an acyl-CoA,69,0.003718,[1*]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:57912, L-tryptophan,68,0.003664,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
CHEBI:32551, L-lysine,67,0.003610,[NH3+]CCCC[C@H]([NH3+])C(=O)[O-]
CHEBI:82748,,67,0.003610,*O[C@H]1[C@@H](O)[C@H](n2ccc(N)nc2=O)O[C@@H]1COP(*)(=O)[O-]
CHEBI:16113, cholesterol,66,0.003556,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEBI:17154, nicotinamide,65,0.003503,NC(=O)c1cccnc1
CHEBI:58057, (2E)-geranyl diphosphate,65,0.003503,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:17359, sulfite,64,0.003449,O=S([O-])[O-]
CHEBI:57394, octadecanoyl-CoA,63,0.003395,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:58756," (2E,6E,10E)-geranylgeranyl diphosphate",63,0.003395,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:16452, oxaloacetate,61,0.003287,O=C([O-])CC(=O)C(=O)[O-]
CHEBI:57427, L-leucine,61,0.003287,CC(C)C[C@H]([NH3+])C(=O)[O-]
CHEBI:67138, UDP-N-acetyl-alpha-D-galactosamine,61,0.003287,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
CHEBI:29919, hydrogen sulfide,60,0.003233,[SH-]
CHEBI:17544, hydrogencarbonate,59,0.003179,O=C([O-])O
CHEBI:46911, L-ornithine,58,0.003125,[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
CHEBI:58315, L-tyrosine,58,0.003125,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
CHEBI:15354, choline,56,0.003018,C[N+](C)(C)CCO
CHEBI:46398, UTP,55,0.002964,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:50058,,55,0.002964,*N[C@@H](CSSC[C@H](N*)C(*)=O)C(*)=O
CHEBI:57527, GDP-alpha-D-mannose,55,0.002964,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:57865, UMP,55,0.002964,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:132124, a quinone,53,0.002856,[1*]C1=C([2*])C(=O)C([3*])=C([4*])C1=O
CHEBI:29067, a carboxylate,52,0.002802,[1*]C(=O)[O-]
CHEBI:30245," (9Z,12Z)-octadecadienoate",52,0.002802,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-]
CHEBI:57597, sn-glycerol 3-phosphate,52,0.002802,O=P([O-])([O-])OC[C@H](O)CO
CHEBI:15343, acetaldehyde,51,0.002748,CC=O
CHEBI:17790, methanol,51,0.002748,CO
CHEBI:24646, a quinol,51,0.002748,[1*]c1c([2*])c(O)c([3*])c([4*])c1O
CHEBI:58168, a 1-acyl-sn-glycero-3-phosphocholine,49,0.002640,[1*]C(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
CHEBI:64612," a 1,2-diacyl-sn-glycero-3-phosphoethanolamine",49,0.002640,[1*]C(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC([2*])=O
CHEBI:16347, (R)-carnitine,48,0.002586,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
CHEBI:74269,,47,0.002533,*O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(*)(=O)[O-]
CHEBI:18407, hydrogen cyanide,46,0.002479,C#N
CHEBI:57368," (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA",46,0.002479,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:61929,,46,0.002479,*N[C@@H](CCCC[NH2+]C)C(*)=O
CHEBI:61976,,46,0.002479,*N[C@@H](CCCC[NH+](C)C)C(*)=O
